	paperId	title	abstract	venue	publicationDate	authors
0	cf1f26e7cbed3958b3c2870656568c299fece6e3	Performance of ChatGPT on USMLE: Potential for AI-Assisted Medical Education Using Large Language Models	We evaluated the performance of a large language model called ChatGPT on the United States Medical Licensing Exam (USMLE), which consists of three exams: Step 1, Step 2CK, and Step 3. ChatGPT performed at or near the passing threshold for all three exams without any specialized training or reinforcement. Additionally, ChatGPT demonstrated a high level of concordance and insight in its explanations. These results suggest that large language models may have the potential to assist with medical education, and potentially, even clinical decision-making.	medRxiv	12/20/2022	[{'authorId': '2076041163', 'name': 'Tiffany H. Kung'}, {'authorId': '40315563', 'name': 'Morgan Cheatham'}, {'authorId': '2036654064', 'name': 'Arielle Medenilla'}, {'authorId': '2205202770', 'name': 'Czarina Sillos'}, {'authorId': '2205233755', 'name': 'Lorie De Leon'}, {'authorId': '2205195617', 'name': 'Camille ElepaÃ±o'}, {'authorId': '2205195620', 'name': 'Maria Madriaga'}, {'authorId': '2205195054', 'name': 'Rimel Aggabao'}, {'authorId': '2205233740', 'name': 'Giezel Diaz-Candido'}, {'authorId': '2205202767', 'name': 'James Maningo'}, {'authorId': '2205195081', 'name': 'Victor Tseng'}]
1	8822357efe500caded16e603d21239be3a39547c	ChatGPT: The End of Online Exam Integrity?	,	ArXiv	12/19/2022	[{'authorId': '2656889', 'name': 'Teo Susnjak'}]
2	a45ff64e22f8005d563fed1ee545ddc98aab9766	AI bot ChatGPT writes smart essays - should professors worry?		Nature	12/9/2022	[{'authorId': '1413934873', 'name': 'Chris Stokel-Walker'}]
3	3d3012bfcc8bc7e4dc84c177e94650e66f03bc5b	Are ChatGPT and AlphaCode going to replace programmers?		Nature	12/8/2022	[{'authorId': '4596241', 'name': 'D. Castelvecchi'}]
4	7d4867e28b02059eef4cb25bfcd304b2071b30a9	How Well Does ChatGPT Do When Taking the Medical Licensing Exams? The Implications of Large Language Models for Medical Education and Knowledge Assessment	Background: ChatGPT is a 175 billion parameter natural language processing model which can generate conversation style responses to user input. Objective: To evaluate the performance of ChatGPT on questions within the scope of United States Medical Licensing Examination (USMLE) Step 1 and Step 2 exams, as well as analyze responses for user interpretability. Methods: We used two novel sets of multiple choice questions to evaluate ChatGPT's performance, each with questions pertaining to Step 1 and Step 2. The first was derived from AMBOSS, a commonly used question bank for medical students, which also provides statistics on question difficulty and the performance on an exam relative to the userbase. The second, was the National Board of Medical Examiners (NBME) Free 120-question exams. After prompting ChatGPT with each question, ChatGPT's selected answer was recorded, and the text output evaluated across three qualitative metrics: logical justification of the answer selected, presence of information internal to the question, and presence of information external to the question. Results: On the four datasets, AMBOSS-Step1, AMBOSS-Step2, NBME-Free-Step1, and NBME-Free- Step2, ChatGPT achieved accuracies of 44%, 42%, 64.4%, and 57.8%. The model demonstrated a significant decrease in performance as question difficulty increased (P=.012) within the AMBOSS- Step1 dataset. We found logical justification for ChatGPT's answer selection was present in 100% of outputs. Internal information to the question was present in >90% of all questions. The presence of information external to the question was respectively 54.5% and 27% lower for incorrect relative to correct answers on the NBME-Free-Step1 and NBME-Free-Step2 datasets (P<=.001). Conclusion: ChatGPT marks a significant improvement in natural language processing models on the tasks of medical question answering. By performing at greater than 60% threshold on the NBME-Free- Step-1 dataset we show that the model is comparable to a third year medical student. Additionally, due to the dialogic nature of the response to questions, we demonstrate ChatGPT's ability to provide reasoning and informational context across the majority of answers. These facts taken together make a compelling case for the potential applications of ChatGPT as a medical education tool.	medRxiv	12/26/2022	[{'authorId': '2107029904', 'name': 'A. Gilson'}, {'authorId': '40902199', 'name': 'C. Safranek'}, {'authorId': '2181652492', 'name': 'T. Huang'}, {'authorId': '11035690', 'name': 'V. Socrates'}, {'authorId': '2087060121', 'name': 'L. Chi'}, {'authorId': '143794498', 'name': 'R. A. Taylor'}, {'authorId': '3181480', 'name': 'David Chartash'}]
5	b36acdfc67612d707c95d1ed282672d3ca262be7	Comparing scientific abstracts generated by ChatGPT to original abstracts using an artificial intelligence output detector, plagiarism detector, and blinded human reviewers	Background Large language models such as ChatGPT can produce increasingly realistic text, with unknown information on the accuracy and integrity of using these models in scientific writing. Methods We gathered ten research abstracts from five high impact factor medical journals (n=50) and asked ChatGPT to generate research abstracts based on their titles and journals. We evaluated the abstracts using an artificial intelligence (AI) output detector, plagiarism detector, and had blinded human reviewers try to distinguish whether abstracts were original or generated. Results All ChatGPT-generated abstracts were written clearly but only 8% correctly followed the specific journalâ€™s formatting requirements. Most generated abstracts were detected using the AI output detector, with scores (higher meaning more likely to be generated) of median [interquartile range] of 99.98% [12.73, 99.98] compared with very low probability of AI-generated output in the original abstracts of 0.02% [0.02, 0.09]. The AUROC of the AI output detector was 0.94. Generated abstracts scored very high on originality using the plagiarism detector (100% [100, 100] originality). Generated abstracts had a similar patient cohort size as original abstracts, though the exact numbers were fabricated. When given a mixture of original and general abstracts, blinded human reviewers correctly identified 68% of generated abstracts as being generated by ChatGPT, but incorrectly identified 14% of original abstracts as being generated. Reviewers indicated that it was surprisingly difficult to differentiate between the two, but that the generated abstracts were vaguer and had a formulaic feel to the writing. Conclusion ChatGPT writes believable scientific abstracts, though with completely generated data. These are original without any plagiarism detected but are often identifiable using an AI output detector and skeptical human reviewers. Abstract evaluation for journals and medical conferences must adapt policy and practice to maintain rigorous scientific standards; we suggest inclusion of AI output detectors in the editorial process and clear disclosure if these technologies are used. The boundaries of ethical and acceptable use of large language models to help scientific writing remain to be determined.	bioRxiv	12/27/2022	[{'authorId': '2149285611', 'name': 'Catherine A. Gao'}, {'authorId': '1737779229', 'name': 'Frederick M. Howard'}, {'authorId': '1411115878', 'name': 'N. Markov'}, {'authorId': '2186065223', 'name': 'E. Dyer'}, {'authorId': '144972037', 'name': 'S. Ramesh'}, {'authorId': '1683396', 'name': 'Yuan Luo'}, {'authorId': '2198493546', 'name': 'Alexander T. Pearson'}]
6	7eb094b63ecd57b530a9ccfbfd96287a510b9c7f	"I think this is the most disruptive technology": Exploring Sentiments of ChatGPT Early Adopters using Twitter Data	â€”Large language models have recently attracted sig- niï¬cant attention due to their impressive performance on a variety of tasks. ChatGPT developed by OpenAI is one such implementation of a large, pre-trained language model that has gained immense popularity among early adopters, where certain users go to the extent of characterizing it as a disruptive technology in many domains. Understanding such early adoptersâ€™ sentiments is important because it can provide insights into the potential success or failure of the technology, as well as its strengths and weaknesses. In this paper, we conduct a mixed-method study using 10,732 tweets from early ChatGPT users. We ï¬rst use topic modelling to identify the main topics and then perform an in-depth qualitative sentiment analysis of each topic. Our results show that the majority of the early adopters have expressed overwhelmingly positive sentiments related to topics such as Disruptions to software development , Entertainment and exercising creativity . Only a limited percentage of users expressed concerns about issues such as the potential for misuse of ChatGPT, especially regarding topics such as Impact on educational aspects . We discuss these ï¬ndings by providing speciï¬c examples for each topic and then detail implications related to addressing these concerns for both researchers and users.	ArXiv	12/12/2022	[{'authorId': '3367165', 'name': 'Mubin Ul Haque'}, {'authorId': '39967996', 'name': 'I. Dharmadasa'}, {'authorId': '3375832', 'name': 'Zarrin Tasnim Sworna'}, {'authorId': '1678246762', 'name': 'R. Rajapakse'}, {'authorId': '2195183752', 'name': 'Hussain Ahmad'}]
7	23cae400cfd1a7c455c721256b838e98a307d5e6	ChatGPT Makes Medicine Easy to Swallow: An Exploratory Case Study on Simplified Radiology Reports	The release of ChatGPT, a language model capable of generating text that appears human-like and authentic, has gained significant attention beyond the research community. We expect that the convincing performance of ChatGPT incentivizes users to apply it to a variety of downstream tasks, including prompting the model to simplify their own medical reports. To investigate this phenomenon, we conducted an exploratory case study. In a questionnaire, we asked 15 radiologists to assess the quality of radiology reports simplified by ChatGPT. Most radiologists agreed that the simplified reports were factually correct, complete, and not potentially harmful to the patient. Nevertheless, instances of incorrect statements, missed key medical findings, and potentially harmful passages were reported. While further studies are needed, the initial insights of this study indicate a great potential in using large language models like ChatGPT to improve patient-centered care in radiology and other medical domains.	ArXiv	12/30/2022	[{'authorId': '2199013582', 'name': 'Katharina Jeblick'}, {'authorId': '103583046', 'name': 'B. Schachtner'}, {'authorId': '2051875796', 'name': 'Jakob Dexl'}, {'authorId': '1405351735', 'name': 'Andreas Mittermeier'}, {'authorId': '2158583540', 'name': 'Anna Theresa StÃ¼ber'}, {'authorId': '2124700239', 'name': 'Johanna Topalis'}, {'authorId': '2053297121', 'name': 'Tobias Weber'}, {'authorId': '119656907', 'name': 'P. Wesp'}, {'authorId': '31463178', 'name': 'B. Sabel'}, {'authorId': '2566938', 'name': 'J. Ricke'}, {'authorId': '4925703', 'name': 'M. Ingrisch'}]
8	535c8840cc00d83e3448bffa0f0dd8d05da1bc79	OpenAI ChatGPT Generated Literature Review: Digital Twin in Healthcare		SSRN Electronic Journal		[{'authorId': '30528739', 'name': 'Ã–mer AydÄ±n'}, {'authorId': '40631192', 'name': 'Enis Karaarslan'}]
9	e033faeef032e2c15f1fff5bf54cbc2998f33514	ChatGPT y el futuro de la comunicaciÃ³n cientÃ­fica	ChatGPT es un modelo de lenguaje desarrollado por OpenAI que utiliza la tÃ©cnica de procesamiento de lenguaje natural (NLP) de transformaciÃ³n autorregresiva (Transformer) para generar respuestas coherentes y naturales a preguntas o comentarios en tiempo real. Una forma en la que ChatGPT podrÃ­a ser Ãºtil en la comunicaciÃ³n cientÃ­fica es como una herramienta para ayudar a comunicar las investigaciones de manera mÃ¡s clara y accesible para el pÃºblico en general. Otra forma en la que esta inteligencia artificial (IA) podrÃ­a ser Ãºtil es como una herramienta para contribuir a los cientÃ­ficos y acadÃ©micos a mantenerse al dÃ­a con las Ãºltimas investigaciones y desarrollos en su campo de trabajo. Especialmente el ChatGPT podrÃ­a ser utilizado para recopilar y resumir artÃ­culos cientÃ­ficos y otras publicaciones relevantes de manera automatizada, lo que podrÃ­a ayudar a los cientÃ­ficos a ahorrar tiempo y esfuerzo al tener que leer y analizar cada artÃ­culo por sÃ­ mismos. Un elemento crucial en algunos tipos de estudios, la sÃ­ntesis de literatura, sea para una revisiÃ³n narrativa o panorÃ¡mica, el uso de ChatGPT permitirÃ­a generar resÃºmenes o abstracts de investigaciones de manera mÃ¡s eficiente, o incluso a redactar secciones de un artÃ­culo cientÃ­fico que requieran menos anÃ¡lisis crÃ­tico o interpretaciÃ³n. Sin embargo, la escritura de un artÃ­culo cientÃ­fico completo requiere un conocimiento profundo del campo de investigaciÃ³n y la habilidad para analizar y sintetizar datos de manera crÃ­tica. Esto es algo que solo puede hacerse de manera efectiva a travÃ©s del trabajo y el esfuerzo de un ser humano.	Metaverse Basic and Applied Research	12/28/2022	[{'authorId': '2102953588', 'name': 'William Castillo-GonzÃ¡lez'}]
